                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                  1.731,                  1.734,                 1.5305,                0.75447,                0.59995,                0.70058,                  0.375,                 1.6276,                  1.641,                 1.5004,             0.00078103,             0.00078103,             0.00078103
                     48,                 1.7373,                 1.6559,                  1.511,                0.74371,                0.59622,                0.68673,                0.36737,                  1.643,                 1.5831,                 1.4977,              0.0007737,              0.0007737,              0.0007737
                     49,                  1.749,                 1.6704,                 1.5258,                 0.6946,                0.61938,                0.69401,                0.37847,                 1.5983,                 1.4528,                 1.4623,             0.00076637,             0.00076637,             0.00076637
                     50,                 1.6847,                 1.6261,                 1.4978,                0.70578,                0.62116,                0.70685,                0.37888,                 1.6131,                 1.4013,                 1.4743,             0.00075904,             0.00075904,             0.00075904
                     51,                 1.7204,                 1.6374,                 1.4858,                0.81906,                0.63718,                0.74279,                0.41825,                 1.5938,                 1.3678,                  1.463,              0.0007517,              0.0007517,              0.0007517
                     52,                 1.6996,                 1.6252,                 1.5126,                0.73198,                0.64607,                0.72086,                0.40127,                 1.5828,                 1.3428,                 1.4633,             0.00074437,             0.00074437,             0.00074437
                     53,                  1.694,                 1.6054,                 1.5056,                0.78346,                0.60024,                0.73298,                0.42149,                 1.5518,                 1.3814,                 1.4532,             0.00073704,             0.00073704,             0.00073704
                     54,                 1.6853,                 1.5726,                 1.4827,                0.75552,                0.65413,                0.75442,                0.44367,                 1.5312,                 1.2672,                 1.4296,              0.0007297,              0.0007297,              0.0007297
                     55,                 1.6205,                 1.4584,                 1.4521,                   0.75,                0.63493,                0.73395,                0.42888,                 1.5857,                 1.3896,                 1.4588,             0.00072237,             0.00072237,             0.00072237
                     56,                 1.6915,                 1.4807,                 1.4485,                0.77619,                0.68196,                0.77155,                0.43128,                 1.5548,                 1.2478,                 1.4364,             0.00071504,             0.00071504,             0.00071504
                     57,                 1.6092,                 1.5154,                 1.4495,                0.79127,                0.68365,                0.78169,                0.46548,                 1.5003,                 1.2074,                    1.4,             0.00070771,             0.00070771,             0.00070771
                     58,                 1.6572,                 1.5663,                 1.4788,                0.75396,                0.64271,                0.75156,                0.44238,                 1.5006,                 1.3081,                 1.4045,             0.00070037,             0.00070037,             0.00070037
                     59,                 1.6295,                 1.4612,                 1.4426,                0.80393,                0.73443,                0.80941,                0.46663,                 1.4715,                 1.2074,                 1.3831,             0.00069304,             0.00069304,             0.00069304
                     60,                 1.6114,                 1.4419,                 1.4235,                0.80431,                0.69533,                0.79539,                 0.4648,                 1.4773,                  1.192,                 1.3857,             0.00068571,             0.00068571,             0.00068571
                     61,                 1.5982,                 1.4104,                 1.4329,                0.80157,                 0.7067,                0.78874,                0.46998,                 1.4671,                 1.1972,                 1.3751,             0.00067838,             0.00067838,             0.00067838
                     62,                 1.5828,                 1.3947,                  1.426,                0.86063,                0.73429,                 0.8376,                0.51219,                 1.4311,                 1.1054,                 1.3694,             0.00067104,             0.00067104,             0.00067104
                     63,                 1.5349,                 1.3932,                 1.4196,                0.84941,                0.73859,                0.83339,                0.49653,                 1.4153,                 1.0906,                 1.3399,             0.00066371,             0.00066371,             0.00066371
                     64,                 1.5382,                 1.4069,                 1.3856,                 0.8091,                0.74204,                 0.8208,                 0.4864,                 1.4186,                 1.1531,                 1.3454,             0.00065638,             0.00065638,             0.00065638
                     65,                 1.5983,                 1.4017,                 1.4078,                0.83782,                0.72432,                0.82482,                0.49947,                 1.3817,                 1.1475,                 1.3423,             0.00064905,             0.00064905,             0.00064905
                     66,                 1.5311,                 1.3352,                 1.3808,                0.88306,                0.74046,                0.84403,                0.53793,                 1.3434,                 1.0426,                  1.307,             0.00064171,             0.00064171,             0.00064171
                     67,                 1.5088,                 1.3075,                 1.3794,                0.86859,                0.72971,                0.83899,                0.53735,                 1.3231,                 1.0781,                  1.289,             0.00063438,             0.00063438,             0.00063438
                     68,                  1.498,                 1.3284,                 1.3608,                0.84118,                0.73513,                0.84649,                0.53439,                 1.3312,                 1.0475,                 1.2926,             0.00062705,             0.00062705,             0.00062705
                     69,                 1.4884,                 1.2741,                 1.3559,                0.82008,                 0.7872,                0.84864,                0.55279,                 1.2906,                 1.0225,                 1.2697,             0.00061972,             0.00061972,             0.00061972
                     70,                 1.5078,                 1.3032,                 1.3625,                  0.853,                0.75493,                0.85938,                0.54755,                 1.3549,                0.99816,                 1.2958,             0.00061238,             0.00061238,             0.00061238
                     71,                 1.5655,                 1.3079,                 1.3948,                0.77851,                0.79194,                0.84327,                0.51822,                 1.3798,                 1.0463,                 1.3197,             0.00060505,             0.00060505,             0.00060505
                     72,                 1.5068,                 1.3159,                 1.3686,                0.83507,                0.77444,                0.84585,                0.53769,                 1.3282,                 1.0899,                 1.2856,             0.00059772,             0.00059772,             0.00059772
                     73,                 1.5128,                 1.2484,                 1.3532,                 0.8591,                0.78382,                0.86727,                0.56435,                 1.3078,                 1.0146,                 1.2783,             0.00059039,             0.00059039,             0.00059039
                     74,                 1.4774,                 1.2434,                 1.3652,                0.85741,                0.79806,                0.87332,                0.56909,                  1.276,                0.93643,                 1.2585,             0.00058305,             0.00058305,             0.00058305
                     75,                 1.4601,                 1.2392,                  1.336,                0.83596,                0.77857,                0.84831,                0.55261,                  1.294,                0.99354,                 1.2683,             0.00057572,             0.00057572,             0.00057572
                     76,                 1.4541,                 1.2451,                 1.3272,                0.84861,                0.74998,                 0.8608,                0.56434,                 1.2527,                0.95569,                 1.2249,             0.00056839,             0.00056839,             0.00056839
                     77,                 1.4886,                 1.2372,                 1.3409,                0.82549,                0.78358,                0.85832,                0.56297,                 1.2592,                0.94209,                 1.2295,             0.00056105,             0.00056105,             0.00056105
                     78,                 1.4626,                  1.243,                 1.3462,                0.81649,                0.80784,                0.87799,                0.57094,                  1.264,                0.94639,                 1.2488,             0.00055372,             0.00055372,             0.00055372
                     79,                 1.4122,                 1.1868,                 1.3205,                 0.8771,                0.79234,                0.89087,                0.58498,                 1.2296,                0.93983,                 1.2212,             0.00054639,             0.00054639,             0.00054639
                     80,                 1.4382,                 1.1824,                 1.3233,                0.88915,                0.81458,                0.88935,                0.58723,                 1.2396,                 0.9309,                 1.2255,             0.00053906,             0.00053906,             0.00053906
                     81,                 1.3822,                 1.1529,                  1.307,                 0.8738,                0.83789,                0.89557,                0.60557,                 1.1998,                0.87957,                 1.2088,             0.00053172,             0.00053172,             0.00053172
                     82,                  1.378,                 1.1606,                 1.3016,                0.89837,                0.80515,                0.89566,                0.59312,                 1.2209,                0.88639,                 1.2192,             0.00052439,             0.00052439,             0.00052439
                     83,                 1.3789,                 1.1449,                 1.2957,                0.90097,                0.83565,                0.90237,                0.60824,                 1.2073,                0.87671,                 1.2117,             0.00051706,             0.00051706,             0.00051706
                     84,                 1.3982,                 1.1273,                 1.3139,                0.87657,                0.83029,                0.89522,                0.59154,                 1.2259,                0.88046,                 1.2226,             0.00050973,             0.00050973,             0.00050973
                     85,                 1.3679,                 1.1308,                 1.2903,                0.89348,                0.81693,                0.90307,                0.62036,                 1.1555,                0.89649,                 1.1853,             0.00050239,             0.00050239,             0.00050239
                     86,                 1.3908,                 1.1587,                 1.2909,                0.87269,                0.82978,                0.90239,                0.60545,                 1.1833,                0.87355,                    1.2,             0.00049506,             0.00049506,             0.00049506
                     87,                  1.404,                 1.1345,                 1.2906,                0.90394,                0.81841,                0.89991,                 0.6017,                   1.21,                0.85065,                 1.2042,             0.00048773,             0.00048773,             0.00048773
                     88,                 1.3562,                 1.1106,                 1.2605,                0.88935,                0.85563,                0.90856,                0.63418,                 1.1524,                0.82209,                 1.1744,              0.0004804,              0.0004804,              0.0004804
                     89,                 1.3761,                 1.1012,                 1.2515,                0.87592,                0.86862,                0.91686,                0.61722,                 1.1777,                0.80927,                  1.179,             0.00047306,             0.00047306,             0.00047306
                     90,                 1.3748,                 1.0834,                 1.2725,                0.88758,                0.83816,                0.91166,                0.63975,                 1.1354,                0.82629,                 1.1732,             0.00046573,             0.00046573,             0.00046573
                     91,                 1.3298,                 1.0524,                 1.2612,                0.90348,                0.84196,                0.90614,                0.62446,                 1.1667,                0.82996,                 1.1839,              0.0004584,              0.0004584,              0.0004584
