                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5162,                 1.5997,                 1.3781,                0.66326,                0.47805,                0.54597,                0.33808,                 1.3869,                 1.2112,                 1.3258,             0.00027574,             0.00027574,             0.00027574
                     46,                 1.5069,                 1.5973,                 1.3716,                0.65653,                0.48764,                0.55834,                0.33801,                 1.3725,                 1.1984,                 1.3088,              0.0002732,              0.0002732,              0.0002732
                     47,                  1.502,                  1.569,                 1.3605,                0.57826,                0.53478,                0.57068,                0.35162,                 1.3311,                 1.1256,                 1.2799,             0.00027065,             0.00027065,             0.00027065
                     48,                 1.4848,                 1.5429,                 1.3649,                0.67816,                 0.4819,                0.56637,                0.35422,                 1.3222,                 1.1296,                 1.2701,             0.00026811,             0.00026811,             0.00026811
                     49,                 1.4882,                  1.531,                 1.3602,                0.70906,                0.51995,                 0.6222,                0.38443,                 1.3292,                 1.1742,                 1.2691,             0.00026557,             0.00026557,             0.00026557
                     50,                 1.4653,                 1.5041,                 1.3596,                0.70546,                0.50676,                0.60126,                0.36718,                  1.313,                 1.1021,                 1.2637,             0.00026303,             0.00026303,             0.00026303
                     51,                 1.4859,                  1.489,                 1.3537,                0.68438,                0.51593,                 0.5992,                0.38207,                 1.2861,                 1.0985,                 1.2595,             0.00026049,             0.00026049,             0.00026049
                     52,                 1.4608,                 1.4735,                 1.3404,                0.59834,                0.56773,                0.61587,                  0.392,                 1.2725,                 1.0818,                 1.2489,             0.00025795,             0.00025795,             0.00025795
                     53,                 1.4721,                 1.4766,                 1.3416,                0.62205,                0.57661,                0.63502,                 0.4048,                  1.277,                 1.0467,                 1.2472,             0.00025541,             0.00025541,             0.00025541
                     54,                 1.4365,                 1.4249,                 1.3132,                0.66615,                0.52474,                0.61919,                0.38723,                 1.3034,                 1.1174,                 1.2628,             0.00025287,             0.00025287,             0.00025287
                     55,                 1.4326,                 1.4312,                 1.3173,                0.64811,                0.55688,                0.62493,                0.39261,                 1.2534,                 1.0331,                  1.239,             0.00025033,             0.00025033,             0.00025033
                     56,                 1.4335,                 1.4477,                 1.3346,                0.68293,                0.54017,                0.63808,                0.40509,                 1.2383,                0.99408,                 1.2252,             0.00024779,             0.00024779,             0.00024779
                     57,                 1.4132,                 1.3645,                 1.3059,                0.71788,                0.53249,                0.64075,                0.42131,                 1.2173,                0.98396,                 1.2118,             0.00024525,             0.00024525,             0.00024525
                     58,                 1.4075,                 1.3725,                  1.304,                0.69817,                0.54438,                0.63801,                0.41211,                 1.2294,                  1.033,                 1.2182,              0.0002427,              0.0002427,              0.0002427
                     59,                 1.4039,                 1.3915,                  1.309,                0.64689,                 0.5777,                 0.6602,                0.42005,                  1.241,                 1.0125,                 1.2237,             0.00024016,             0.00024016,             0.00024016
                     60,                 1.3871,                 1.3398,                  1.297,                0.70298,                0.52594,                0.66796,                0.43028,                 1.2275,                  1.006,                 1.2087,             0.00023762,             0.00023762,             0.00023762
                     61,                 1.3839,                 1.3245,                 1.2849,                0.63343,                0.63442,                0.68721,                 0.4512,                 1.1912,                 1.0307,                  1.203,             0.00023508,             0.00023508,             0.00023508
                     62,                 1.3653,                 1.3216,                   1.27,                0.70729,                0.57778,                0.68129,                0.44105,                 1.1964,                0.95747,                 1.1931,             0.00023254,             0.00023254,             0.00023254
                     63,                 1.4189,                 1.3521,                 1.3145,                0.74959,                0.58542,                0.68921,                0.44863,                 1.1713,                0.92645,                 1.1761,                0.00023,                0.00023,                0.00023
                     64,                  1.378,                 1.3207,                 1.2855,                0.67639,                0.66063,                0.71734,                0.46384,                 1.1744,                0.91843,                 1.1784,             0.00022746,             0.00022746,             0.00022746
                     65,                 1.3847,                 1.3013,                 1.2827,                0.63706,                0.63154,                0.70157,                0.45637,                 1.2059,                0.94264,                 1.1862,             0.00022492,             0.00022492,             0.00022492
                     66,                 1.3863,                 1.2919,                 1.2722,                0.59583,                0.63069,                 0.6804,                0.44559,                 1.1819,                0.94114,                 1.1808,             0.00022238,             0.00022238,             0.00022238
                     67,                 1.3546,                 1.2815,                 1.2667,                0.70721,                0.62574,                0.70535,                0.47988,                 1.1495,                0.91501,                 1.1598,             0.00021983,             0.00021983,             0.00021983
                     68,                 1.3476,                  1.243,                 1.2383,                0.72467,                0.61716,                0.72239,                0.47725,                 1.1425,                0.92145,                 1.1491,             0.00021729,             0.00021729,             0.00021729
                     69,                 1.3454,                 1.2413,                 1.2557,                0.68463,                0.66496,                0.72007,                0.47941,                 1.1464,                0.86744,                 1.1548,             0.00021475,             0.00021475,             0.00021475
                     70,                 1.3212,                 1.2009,                 1.2413,                0.67262,                0.66979,                  0.728,                0.49173,                 1.1456,                0.87534,                 1.1572,             0.00021221,             0.00021221,             0.00021221
                     71,                 1.3173,                 1.2393,                  1.241,                0.70397,                 0.6614,                0.75817,                0.51403,                 1.1169,                0.87385,                 1.1382,             0.00020967,             0.00020967,             0.00020967
                     72,                 1.3313,                 1.2302,                 1.2518,                0.67009,                0.70981,                0.75024,                0.52539,                 1.1184,                0.85853,                 1.1293,             0.00020713,             0.00020713,             0.00020713
                     73,                 1.2962,                 1.1983,                  1.219,                0.71999,                0.71007,                0.76618,                0.52726,                 1.0837,                0.83315,                   1.12,             0.00020459,             0.00020459,             0.00020459
