Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
Fortuner,Toyota,2700 cc,SUV,2020,"36,000 km",Petrol,Automatic,Karachi,PKR 1.23 crore
Fortuner,Toyota,2800 cc,SUV,2022,"18,000 km",Diesel,Automatic,Punjab,PKR 1.74 crore
Fortuner,Toyota,2800 cc,N/A,2022,"23,500 km",Diesel,Automatic,Punjab,PKR 1.87 crore
Fortuner,Toyota,2700 cc,SUV,2017,"58,000 km",Petrol,Automatic,Karachi,PKR 1.04 crore
Fortuner,Toyota,2800 cc,SUV,2023,"4,846 km",Diesel,Automatic,Islamabad,Call for price
Fortuner,Toyota,2700 cc,SUV,2022,"15,000 km",Petrol,Automatic,Karachi,PKR 1.32 crore
Fortuner,Toyota,2800 cc,SUV,2021,"28,000 km",Diesel,Automatic,Punjab,PKR 1.58 crore
Fortuner,Toyota,2700 cc,SUV,2021,"2,700 km",Petrol,Automatic,Islamabad,PKR 1.4 crore
Fortuner,Toyota,2800 cc,SUV,2021,"42,000 km",Diesel,Automatic,Punjab,PKR 1.46 crore
Fortuner,Toyota,2800 cc,SUV,2020,"44,000 km",Diesel,Automatic,Islamabad,PKR 1.55 crore
Fortuner,Toyota,2800 cc,SUV,2021,"38,000 km",Diesel,Automatic,Islamabad,PKR 1.56 crore
Fortuner,Toyota,2700 cc,SUV,2017,"68,000 km",Petrol,Automatic,Islamabad,PKR 1.15 crore
Fortuner,Toyota,2700 cc,SUV,2021,"49,283 km",LPG,Automatic,Punjab,PKR 1.4 crore
Fortuner,Toyota,2700 cc,SUV,2017,"38,000 km",Petrol,Automatic,Karachi,PKR 1.08 crore
Fortuner,Toyota,2700 cc,SUV,2020,"14,000 km",Petrol,Automatic,Punjab,PKR 1.3 crore
Fortuner,Toyota,2700 cc,SUV,2018,"115,000 km",Petrol,Automatic,Islamabad,PKR 1.16 crore
Fortuner,Toyota,2700 cc,SUV,2017,"58,000 km",Petrol,Automatic,Karachi,PKR 1.04 crore
