,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
6784,Prius,Toyota,1800,Sedan,2020,17000,Hybrid,Automatic,Un-Registered,91.0
6785,Prius,Toyota,1800,Sedan,2013,182000,Petrol,Automatic,Sindh,45.0
6786,Prius,Toyota,1800,Sedan,2014,90000,Hybrid,Automatic,Islamabad,46.0
6787,Prius,Toyota,1800,Sedan,2011,129300,Hybrid,Automatic,Punjab,46.5
6788,Prius,Toyota,1800,Sedan,2011,60000,Hybrid,Automatic,Karachi,43.0
6789,Prius,Toyota,1800,Sedan,2015,158000,Hybrid,Automatic,Karachi,52.0
6790,Prius,Toyota,1800,Sedan,2013,165000,Petrol,Automatic,Islamabad,44.0
6791,Prius,Toyota,1800,MPV,2018,62000,Hybrid,Automatic,Islamabad,90.0
6792,Prius,Toyota,1800,Sedan,2018,100350,Hybrid,Automatic,Un-Registered,86.0
6793,Prius,Toyota,1800,Sedan,2014,148000,Hybrid,Automatic,Lahore,47.5
6794,Prius,Toyota,1800,Sedan,2020,31000,Petrol,Automatic,Un-Registered,114.99999999999999
6795,Prius,Toyota,1800,Sedan,2011,88000,Petrol,Automatic,Islamabad,52.0
6796,Prius,Toyota,1800,Sedan,2020,47000,Hybrid,Automatic,Un-Registered,95.5
6797,Prius,Toyota,1800,Sedan,2015,250000,Hybrid,Automatic,Islamabad,56.0
6798,Prius,Toyota,1800,Sedan,2011,120000,Hybrid,Automatic,Lahore,38.8
6799,Corolla,Toyota,1500,Sedan,2014,81000,Petrol,Automatic,Islamabad,48.5
6800,Prius,Toyota,1800,Hatchback,2017,152000,Hybrid,Automatic,Karachi,86.75
6801,Prius,Toyota,1800,Sedan,2011,200000,Hybrid,Automatic,Sindh,36.0
6802,Prius,Toyota,1800,Sedan,2009,90000,Hybrid,Automatic,Islamabad,42.0
6803,Prius,Toyota,1500,Sedan,2011,2,Hybrid,Automatic,Lahore,32.0
6804,Prius,Toyota,1800,Sedan,2018,71000,Petrol,Automatic,Punjab,92.0
6805,Prius,Toyota,1800,Sedan,2011,185000,Hybrid,Automatic,Islamabad,39.8
6806,Prius,Toyota,1800,Sedan,2014,64282,Hybrid,Automatic,Karachi,59.2
6807,Prius,Toyota,1800,Sedan,2010,123550,Hybrid,Automatic,Lahore,37.99
6808,Prius,Toyota,1800,Sedan,2012,87500,Hybrid,Automatic,Sindh,42.5
6809,Prius,Toyota,1800,Sedan,2020,62500,Petrol,Automatic,Un-Registered,114.99999999999999
6810,Prius,Toyota,1800,Sedan,2020,23502,Hybrid,Automatic,Un-Registered,92.0
6811,Prius,Toyota,1800,Sedan,2020,50481,Petrol,Automatic,Un-Registered,87.0
6812,Prius,Toyota,1800,Sedan,2013,160000,Hybrid,Automatic,Karachi,42.0
6813,Prius,Toyota,1800,Sedan,2014,168194,Petrol,Automatic,Islamabad,60.5
6814,Prius,Toyota,1800,Sedan,2011,187000,Petrol,Automatic,Sindh,41.5
6815,Prius,Toyota,1800,Sedan,2010,193023,Petrol,Automatic,Punjab,40.0
6816,Prius,Toyota,1500,Sedan,2005,113305,Petrol,Automatic,Islamabad,32.0
6817,Prius,Toyota,1800,Sedan,2011,280000,Petrol,Automatic,Islamabad,41.9
6818,Prius,Toyota,1800,Sedan,2012,102759,Petrol,Automatic,Lahore,40.0
6819,Prius,Toyota,1800,Sedan,2009,207370,Petrol,Automatic,Lahore,42.0
6820,Prius,Toyota,1800,Sedan,2020,27944,Hybrid,Automatic,Un-Registered,92.0
