,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
205,Swift,Suzuki,1300 cc,Hatchback,2013,"90,000 km",Petrol,Manual,Islamabad,PKR 22 lacs
206,Swift,Suzuki,1240 cc,Hatchback,2022,"17,600 km",Petrol,Automatic,Islamabad,PKR 42.9 lacs
207,Cultus,Suzuki,1000 cc,Hatchback,2013,"120,000 km",Petrol,Manual,Sindh,PKR 14 lacs
208,Swift,Suzuki,1300 cc,Hatchback,2018,"57,000 km",Petrol,Automatic,Sindh,PKR 25 lacs
209,Swift,Suzuki,1200 cc,Hatchback,2022,"29,500 km",Petrol,Automatic,Islamabad,PKR 44.75 lacs
210,Swift,Suzuki,1300 cc,Hatchback,2013,"211,000 km",Petrol,Manual,Lahore,PKR 18.5 lacs
211,Swift,Suzuki,1300 cc,Hatchback,2016,"100,000 km",Petrol,Manual,Karachi,PKR 23.5 lacs
212,R2,Subaru,660 cc,Hatchback,2008,"129,000 km",Petrol,Automatic,Punjab,PKR 15 lacs
213,Swift,Suzuki,1300 cc,Hatchback,2019,"142,719 km",Petrol,Automatic,Islamabad,PKR 24.75 lacs
214,Swift,Suzuki,1200 cc,Hatchback,2022,"53,000 km",Petrol,Automatic,Islamabad,PKR 39.8 lacs
215,Swift,Suzuki,1300 cc,Hatchback,2012,123 km,Petrol,Manual,Karachi,PKR 14.3 lacs
216,Swift,Suzuki,1200 cc,N/A,2022,"22,000 km",Petrol,Automatic,Islamabad,PKR 43.75 lacs
217,Swift,Suzuki,1200 cc,Hatchback,2022,"32,000 km",Petrol,Automatic,Islamabad,PKR 44.25 lacs
218,Swift,Suzuki,1300 cc,Hatchback,2017,"40,782 km",Petrol,Automatic,Islamabad,PKR 35 lacs
219,Swift,Suzuki,1240 cc,Hatchback,2022,"5,767 km",Petrol,Automatic,Punjab,PKR 43.5 lacs
220,Swift,Suzuki,1240 cc,Hatchback,2022,"42,760 km",Petrol,Automatic,Punjab,PKR 41 lacs
221,Swift,Suzuki,1300 cc,Hatchback,2016,"127,000 km",Petrol,Manual,Sindh,PKR 20.5 lacs
222,Swift,Suzuki,1240 cc,Hatchback,2022,"41,080 km",Petrol,Automatic,Punjab,PKR 39 lacs
223,Swift,Suzuki,1300 cc,Hatchback,2013,"95,000 km",Petrol,Automatic,Lahore,PKR 26 lacs
224,Swift,Suzuki,1242 cc,Hatchback,2022,"16,000 km",Petrol,Automatic,Islamabad,PKR 44.9 lacs
225,Swift,Suzuki,1300 cc,Hatchback,2020,"58,000 km",Petrol,Manual,Islamabad,PKR 28.6 lacs
226,Swift,Suzuki,1200 cc,Hatchback,2022,"40,000 km",Petrol,Automatic,Punjab,PKR 42 lacs
